sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 2 8 0x1900 135 63.0 66.0 111.0 116.0 100320 7.4997 203.72 100329 10835100 200640 21067200 9589098504 13513871456 17360397223 7452101 0 0 0 0 1304 194020
ebbrt_tuned 0 8 0x1700 135 66.0 66.0 67.0 113.0 101045 6.8994 179.85 101054 10913400 202090 21219450 9637346502 13542501694 17233942114 7569495 0 0 0 0 1671 200944
ebbrt_tuned 1 8 0x1700 135 66.0 67.0 68.0 114.0 100711 6.8989 179.9 100720 10877328 201422 21149310 9627831918 13561326864 17251654096 7520200 0 0 0 0 1310 200344
ebbrt_tuned 2 8 0x1700 135 66.0 67.0 68.0 113.0 100820 6.8996 179.86 100829 10889100 201640 21172200 9634699467 13557495399 17242814490 7535474 0 0 0 0 1304 200563
ebbrt_tuned 0 8 0x1500 135 70.0 71.0 72.0 114.0 100582 7.2994 178.57 100591 10863396 201164 21122220 9626907558 13593965466 18835806878 7593577 0 0 0 0 1508 199446
ebbrt_tuned 2 8 0x1500 135 81.0 83.0 84.0 185.0 101049 8.4991 210.18 101058 10913832 202098 21220290 9572439038 17325991381 24004064730 15125920 0 0 0 0 1746 194352
ebbrt_tuned 0 8 0x1300 135 88.0 89.0 90.0 97.0 100193 8.5994 200.11 100202 10821384 200386 21040530 9494947887 16094229676 24573863197 13235833 0 0 0 0 517 168715
ebbrt_tuned 1 8 0x1300 135 88.0 89.0 91.0 98.0 100365 8.7001 202.3 100374 10839960 200730 21076650 9533294814 16275256684 24851264089 13520856 0 0 0 0 677 173028
ebbrt_tuned 2 8 0x1300 135 88.0 89.0 90.0 97.0 100275 8.5994 200.21 100284 10830240 200550 21057750 9480114450 16100819883 24583324244 13082891 0 0 0 0 594 165641
ebbrt_tuned 0 8 0x1100 135 77.0 79.0 97.0 100.0 100450 8.1995 178.83 100459 10849140 200900 21094500 9493536982 13893117601 23700194001 8414897 0 0 0 0 328 84128
ebbrt_tuned 1 8 0x1100 135 77.0 80.0 98.0 101.0 100991 8.2999 180.96 101000 10907568 201982 21208110 9519419463 14057378242 23980689976 8643297 0 0 0 0 364 86818
ebbrt_tuned 2 8 0x1100 135 79.0 89.0 99.0 103.0 100912 8.5996 187.46 100921 10899036 201824 21191520 9501728897 14547099257 24816253346 9213551 0 0 0 0 398 94269
ebbrt_tuned 0 8 0xf00 135 86.0 89.0 91.0 98.0 100270 8.899 182.87 100279 10829700 200540 21056700 9434051475 13347112257 25804948055 7002482 0 0 0 0 0 1794
ebbrt_tuned 2 8 0xf00 135 86.0 88.0 90.0 98.0 100848 8.8996 182.71 100857 10892124 201696 21178080 9488522955 13347732850 25806306241 7071614 0 0 0 0 3 2179
